trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-238,3,1196.95093248421,1489.5281652417857,2.291479117969463,5.250876548090108,1,0,507.9244222526547,-302.86038717746607,0.5,529.7110644654905,-461.35403191244774,0.8333333333333334
1-240,14,2311.527855493742,1527.1812701988526,3.1067279404248476,8.573441722984045,1,0,612.3813509351945,-466.01147931519597,0.7692307692307693,954.859675509013,-997.7507641544591,1.0
1-245,5,516.6009582000506,1217.41998018613,2.2721702174227016,5.162757496942727,1,0,109.12567882168453,-168.87620354568384,1.8,187.89319264357061,-235.95083334830525,1.6
1-251,5,1776.5569908188274,1603.6170516531733,2.388682035671162,5.749803093525641,1,0,285.1357268922712,-430.2395906178562,1.3333333333333333,546.8365564919651,-517.7053838313728,0.8571428571428571
1-252,9,2277.350800194376,1655.8963014213346,1.476664162698489,21.07437897783998,1,0,508.4943193935473,-884.9446227045656,2.0,1098.3630769963247,-1246.7129542152277,1.125
1-256,2,550.8785195258235,1271.4657701478825,1.3352190127755235,1.7828098120772433,1,0,147.4727588041607,-108.48898798350561,1.2,191.02097462098712,-198.89514515639638,1.0
1-257,5,2266.8729539234787,1698.022282784937,1.1724027900203349,3.443830424746517,1,0,627.8083225902699,-642.5833590739869,1.0,919.0474990149859,-1268.9303310601697,1.1666666666666667
1-258,3,504.93126368444433,1410.4028161375782,1.7952573148238329,3.2229488264284787,1,0,255.6495878461448,-119.80870712816636,0.5,368.6505649882928,-305.9978540023969,0.8333333333333334
1-262,63,3610.4046279405475,1627.0309688760885,2.464454705869414,1.6101649131597533,1,1,413.28262534331895,-412.3436639794541,1.0,648.6097010860456,-828.1292044620963,1.2903225806451613
1-263,14,1154.9264759654095,1288.1049925389157,3.818046598718287,17.28688993911832,1,0,331.1214270845328,-305.1196672228327,0.7692307692307693,605.5805729528884,-442.88340669323105,0.6923076923076923
1-264,4,1586.3754129631182,1370.809508088934,1.8791575165487617,7.778798089602331,1,0,479.21221985386785,-620.6234997671315,1.6,1198.8402710715338,-906.1827474564259,0.7142857142857143
1-265,6,617.2178795099713,1285.2993904191796,2.9910453261886927,8.946352143315224,1,0,244.5302436438668,-312.77186318936424,1.5,474.05030372647934,-520.4533888942813,1.3333333333333333
1-266,2,668.7273805879789,1346.4478108287842,2.0472507292059823,4.191235548234426,1,0,199.09054203501427,-238.17468231017298,0.8333333333333334,373.5137729860613,-356.1568073153744,1.0
1-267,2,594.138180296485,1307.056429880686,2.899397606872956,8.406506482740623,1,0,216.4821676601295,-149.7673321225871,0.5714285714285714,290.59775974756957,-432.1279630817287,1.5
1-268,2,414.0793675120259,1179.185337082482,1.2962318151216272,1.6802169185335085,1,0,136.89761457019694,-251.59945768408807,1.75,366.1340757263303,-336.7893169749176,1.0
1-269,6,3213.0541540428903,1364.9934064752663,3.8911631739975823,17.067092454929238,1,1,650.6556771847407,-455.13987302822505,0.6666666666666666,689.1715339453845,-1354.3952140222918,1.8
1-270,18,1437.049832620597,1440.1814081642094,0.8059788347870522,1.9502499922977,1,0,258.9251177677584,-208.23820601040475,0.8,433.0017638935307,-367.91166748762504,0.8571428571428571
1-272,2,531.3019516444053,1457.8395993029476,1.9551914685652896,3.8227736787504933,1,0,197.90988623343335,-247.8131366578224,1.2,310.2846591718089,-497.97878991202333,1.5
1-273,6,1356.8655461996486,1604.1643243754215,3.023305019651402,9.304189120049175,1,0,421.29678893043587,-382.9917211093836,0.875,830.8919628070844,-575.2057168294826,0.75
1-276,5,1334.768643130039,1253.9488717393745,7.400511689093172,54.767573260404674,1,0,433.2693666391674,-406.6303513100955,1.0,561.7355900768409,-798.5249613959757,1.6
1-277,6,2401.3702765094654,1473.4394001260232,3.7895874553150515,14.360973081481207,1,0,634.0800538111963,-562.9370750123956,0.875,863.567328942926,-1051.9567096940639,1.3333333333333333
1-278,3,463.7700942872682,1202.635876457611,2.174020113196923,5.4501956149924595,1,0,367.58947964544495,-337.17565797219,1.0,924.3199786655148,-601.3461730388653,0.5714285714285714
1-279,3,751.1226989032092,1301.6159861426713,3.7666244505091586,14.18745975117342,1,0,285.1048504403895,-509.4041425576769,2.0,815.0255429873343,-695.3660592989337,0.8333333333333334
1-282,2,1230.6328565447889,1367.9348974554587,1.622784850902409,2.6334306723183536,1,0,312.81269815526144,-410.57750460856096,1.2,510.9326597733913,-709.601668806578,1.5
1-284,55,2047.346283750559,1495.9770400957905,1.2343174260935692,1.4145144400772915,1,0,254.1227053213656,-231.9981357629775,0.8285714285714286,409.37518567075205,-436.1005324608347,1.032258064516129
1-285,3,483.34513145608435,1291.5108100085472,0.7378248145359979,8.993204408800187,1,0,159.84216360917313,-210.28832597986963,1.4,317.17903718745816,-398.0663328972872,1.2
1-286,4,513.2869488710515,1236.0470364498753,2.0974838832216793,9.169588933323242,1,0,170.6047947974378,-171.38676046217736,1.1666666666666667,247.43500600657524,-312.17195537321993,1.0
1-290,8,675.7974355514518,1220.11564063384,2.5452287199760324,6.478189236990832,1,0,195.1252843276879,-222.12335504057728,1.4285714285714286,420.6489361520873,-243.1499111113282,0.6
1-291,10,983.7636176645243,1380.5793347905808,2.8373650952395195,8.050640683683568,1,0,159.85922644312282,-226.5275122949288,1.1111111111111112,354.6844558214966,-312.2422641373017,0.8
1-293,39,2678.242988066335,1347.0776729838635,1.655272106416245,2.7074557039850733,1,1,309.30994935329994,-320.8938236379771,1.0,441.157516010083,-578.7175752411928,1.35
1-294,3,607.1868548660053,1257.9604918338896,0.5134369483620231,0.26361749994330685,1,0,193.06245640191085,-230.81483057407291,1.4,450.50214868009255,-304.4583441992117,0.5714285714285714
1-296,6,2132.713620534048,1355.688075471221,2.706901926531879,9.723734280164408,1,1,402.4220732873224,-359.9325794600273,0.875,579.9792900687684,-580.5872054324567,1.0
1-297,2,848.6212669278751,1333.4985535701098,1.6398356535818466,2.689060970758202,1,0,186.6573473377437,-322.7525464000558,1.75,482.45536436839456,-345.6915684276478,0.6666666666666666
1-298,2,877.5947959942627,1264.1627839711587,0.09198298409310289,0.00846086936267202,1,0,421.64571384302013,-190.03375235111588,0.375,409.4186308717986,-396.98728112602964,1.0
1-303,4,537.5698257628408,1383.9771052495257,1.8731921065442798,7.22290628919576,1,0,249.25721507931684,-225.0131087042056,1.1666666666666667,539.1571126677993,-357.3775330552725,0.7142857142857143
1-304,2,412.64781459521953,1203.2260185243995,1.5108258464004547,2.28259473815165,1,0,157.18078670961594,-296.46214588800433,1.75,448.0004293057147,-353.6058374704067,0.6666666666666666
1-306,3,514.041078052446,1356.5692543360321,0.6236876304132905,1.3743344685632644,1,0,213.35874319796093,-253.7129060526056,1.0,622.8409513656736,-319.33326787280447,0.5714285714285714
1-311,2,441.17413986659574,1355.9535630077828,2.7030005350422566,7.306211892438726,1,0,239.80569408163737,-199.71276675924767,0.8333333333333334,415.21191859384425,-429.76697519038044,1.0
1-312,7,1977.116045896033,1594.5525670315265,5.3018349637641515,28.109453982992022,1,0,578.5155108271214,-442.3977361574437,0.7777777777777778,1039.25531011414,-877.6154897056958,0.875
1-313,4,1040.7254600809158,1533.26559737084,0.2488198046071892,0.9821836273400015,1,0,296.5531596583692,-346.36333366132664,1.1666666666666667,619.2563221741141,-487.263433828432,0.7142857142857143
1-314,4,512.1186534568943,1305.814603464512,5.058068066672704,25.58405256709415,1,0,236.380249681652,-164.4675454167177,0.625,339.45491420006755,-327.6691539396888,1.0
1-316,2,898.1330769929041,1490.6746788870896,2.130723989266054,4.539984718433848,1,0,426.90833524842066,-310.34628414395445,0.8333333333333334,463.8155055716572,-420.81811143527256,1.0
1-317,3,400.03454234450663,1209.682258140717,4.22441474924903,17.84567997367275,1,0,144.45077130016148,-194.28121260011244,1.4,270.314856610002,-262.46403665816246,1.2
1-318,6,4427.268612180141,1686.0795756749017,3.35009466849845,15.092642647738312,1,0,1263.94511999042,-881.321585042576,0.6666666666666666,1363.5178086812757,-3198.5584650095684,2.5
1-319,2,1224.9805412805604,1339.517125086689,2.6751223203514503,7.156279428842528,1,0,294.41286595286806,-314.98046302745456,1.2,544.4723603612621,-563.091564036745,1.0
1-320,2,786.591962403679,1480.4968403473206,2.8753156337211307,8.267439993521148,1,0,282.12560768692674,-157.77749048879767,0.5714285714285714,211.54031357920394,-403.52462431027766,1.5
